Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,116.03125,116.03125,113.0,113.5,69.43268,1278800.0
2000-01-04,112.28125,112.96875,109.76562,109.76562,67.14822,1535700.0
2000-01-05,110.0,112.375,109.03125,111.1875,68.01801,2007000.0
2000-01-06,111.40625,113.17188,111.1875,111.75,68.36211999999999,2639500.0
2000-01-07,113.3125,115.5625,113.21875,115.5,70.65618,3767400.0
2000-01-10,116.8125,116.8125,115.4375,116.0,70.96207,762900.0
2000-01-11,115.15625,116.75,115.01562,115.14062,70.43635,1658700.0
2000-01-12,115.5,116.1875,115.15625,115.4375,70.6179,813300.0
2000-01-13,116.01562,116.625,115.21875,115.875,70.88561,1192200.0
2000-01-14,117.46875,117.5,116.125,117.5,71.87963,1935500.0
2000-01-18,116.4375,116.875,115.5,115.71875,70.79005,656500.0
2000-01-19,115.625,115.79688,114.59375,115.5625,70.69442,1003400.0
2000-01-20,115.9375,115.96875,112.65625,113.73438,69.57607,887000.0
2000-01-21,114.1875,114.1875,112.3125,112.8125,69.05768,783200.0
2000-01-24,113.25,113.625,109.0625,110.0,67.33601,2066100.0
2000-01-25,110.59375,110.875,108.75,110.34375,67.54644,1728200.0
2000-01-26,110.21875,111.375,110.125,110.46875,67.62295999999999,1001400.0
2000-01-27,111.125,111.60938,109.1875,110.46875,67.62295999999999,853900.0
2000-01-28,109.84375,110.0625,107.14062,107.40625,65.74825,1253300.0
2000-01-31,107.14062,109.625,107.0,109.5,67.02994,996600.0
2000-02-01,109.5625,110.71875,109.03125,110.28125,67.50819,786500.0
2000-02-02,110.375,111.1875,109.65625,109.6875,67.14475999999999,618100.0
2000-02-03,110.625,110.65625,108.21875,110.5,67.64208,863300.0
2000-02-04,110.4375,110.96875,109.34375,109.75,67.18301,474000.0
2000-02-07,109.15625,109.46875,108.375,108.75,66.57083,718900.0
2000-02-08,109.90625,110.34375,109.125,109.3125,66.91518,993100.0
2000-02-09,109.1875,109.375,106.78125,106.90625,65.44223000000001,819900.0
2000-02-10,107.26562,107.59375,106.01562,107.0,65.49956999999999,1263500.0
2000-02-11,106.5625,106.5625,103.625,104.5,63.96915,2148400.0
2000-02-14,105.0,105.59375,104.5625,105.5,64.58134,1300800.0
2000-02-15,105.59375,107.875,105.01562,107.4375,65.76743,1360000.0
2000-02-16,106.875,107.6875,105.75,105.8125,64.77266,725800.0
2000-02-17,106.78125,106.85938,104.65625,104.78125,64.14139,1164100.0
2000-02-18,105.0,105.0,102.0,102.25,62.6691,1526700.0
2000-02-22,102.875,103.46875,101.0,102.8125,63.0138,1518800.0
2000-02-23,102.96875,103.5,101.625,102.25,62.6691,1558900.0
2000-02-24,102.5625,102.6875,99.5625,102.0,62.51584,4518700.0
2000-02-25,100.59375,101.46875,98.1875,98.5625,60.40893000000001,3316900.0
2000-02-28,99.1875,101.625,98.25,100.14062,61.37617,3068300.0
2000-02-29,101.1875,102.125,100.4375,101.5625,62.24763000000001,1205000.0
2000-03-01,101.78125,102.78125,100.6875,101.625,62.28596999999999,1136200.0
2000-03-02,101.46875,102.25,101.0,101.6875,62.3243,576000.0
2000-03-03,103.34375,104.54688,103.0,103.875,63.66499,1678200.0
2000-03-06,103.8125,103.98438,101.14062,101.71875,62.34345,1220500.0
2000-03-07,101.46875,101.53125,97.53125,98.0,60.06419,3745500.0
2000-03-08,98.75,99.375,97.15625,98.46875,60.3515,2618900.0
2000-03-09,98.84375,100.4375,97.3125,100.32812,61.49112,1715100.0
2000-03-10,99.90625,101.0625,98.96875,99.5625,61.02182,1352600.0
2000-03-13,96.84375,100.1875,96.84375,99.625,61.06019000000001,1506500.0
2000-03-14,100.3125,100.6875,98.0,98.46875,60.3515,854300.0
2000-03-15,98.625,101.98438,97.65625,101.625,62.28596999999999,2040200.0
2000-03-16,102.5625,106.875,102.40625,106.78125,65.44627,4857700.0
2000-03-17,106.0,107.71875,105.67188,106.125,65.14043000000001,3710500.0
2000-03-20,106.28125,107.34375,105.89062,106.8125,65.56241999999999,1812000.0
2000-03-21,106.5625,109.1875,105.9375,109.125,66.98187,2310300.0
2000-03-22,109.15625,109.25,107.8125,108.57812,66.6462,2434800.0
2000-03-23,108.375,111.5,108.25,111.125,68.20947,1894400.0
2000-03-24,110.53125,112.46875,110.28125,111.125,68.20947,1903400.0
2000-03-27,111.34375,111.90625,109.6875,109.8125,67.40383,1431300.0
2000-03-28,109.125,110.98438,109.125,109.375,67.13529,1575100.0
2000-03-29,109.84375,111.21875,108.9375,110.75,67.97932,1426600.0
2000-03-30,109.875,111.5,108.875,110.0625,67.55733000000001,3573300.0
2000-03-31,110.79688,111.25,109.0625,109.4375,67.17366,1103400.0
2000-04-03,109.3125,112.6875,109.125,112.6875,69.16856,1411100.0
2000-04-04,112.5625,114.34375,106.34375,111.6875,68.55468,6635600.0
2000-04-05,110.3125,112.3125,109.89062,110.375,67.74909,3400700.0
2000-04-06,111.375,112.21875,110.375,111.42188,68.39169,2279700.0
2000-04-07,111.96875,111.98438,110.5625,110.90625,68.07516,1027100.0
2000-04-10,111.21875,112.98438,110.90625,112.0625,68.78493,1833500.0
2000-04-11,112.25,113.73438,110.84375,113.25,69.51379,3624800.0
2000-04-12,113.875,114.53125,110.5,110.51562,67.83542,3620700.0
2000-04-13,111.35938,111.5625,108.75,109.03125,66.92429,4333100.0
2000-04-14,107.4375,108.25,101.51562,102.51562,62.92498000000001,4518600.0
2000-04-17,102.875,106.03125,102.25,106.0,65.06368,5978400.0
2000-04-18,106.46875,107.78125,105.89062,107.0625,65.71589,1576900.0
2000-04-19,107.4375,108.0625,106.32812,106.8125,65.56241999999999,1536500.0
2000-04-20,107.0625,108.78125,106.84375,108.78125,66.79903,1886300.0
