Date,Open,High,Low,Close,Adj Close,Volume
2000-05-26,45.53125,45.71875,45.3125,45.71875,34.40634,74800.0
2000-05-30,46.375,47.40625,46.375,47.40625,35.6763,57600.0
2000-05-31,47.5625,48.1875,47.5625,47.57812,35.80563,36000.0
2000-06-01,48.55469,48.65625,48.55469,48.65625,36.617,7000.0
2000-06-02,50.85938,51.1875,50.85938,51.1875,38.52191,29400.0
2000-06-05,51.0625,51.5625,50.9375,51.0,38.38082,48400.0
2000-06-06,51.80469,52.40625,51.34375,51.5,38.75709000000001,151800.0
2000-06-07,51.1875,51.5625,50.71875,51.5625,38.80414,131000.0
2000-06-08,52.125,52.125,51.4375,51.4375,38.71007,91400.0
2000-06-09,51.9375,52.34375,51.90625,52.34375,39.39207,41600.0
2000-06-12,52.5,52.5,50.75,50.78906,38.22207,85200.0
2000-06-13,50.66406,51.4375,50.1875,51.4375,38.71007,168200.0
2000-06-14,51.85938,51.85938,51.1875,51.1875,38.52191,43200.0
2000-06-15,50.875,51.25,50.38281,51.25,38.56896,26800.0
2000-06-16,51.46875,51.5,50.96875,50.96875,38.35729,30200.0
2000-06-19,51.25,52.25,51.01562,52.25,39.32152,59200.0
2000-06-20,52.32812,52.67188,52.125,52.59375,39.58022,47000.0
2000-06-21,52.125,52.9375,52.125,52.84375,39.79106,66800.0
2000-06-22,53.0,53.0,51.25,51.25,38.59099000000001,139600.0
2000-06-23,51.75,51.75,50.5,50.90625,38.33212,235800.0
2000-06-26,51.10938,51.53125,50.875,51.53125,38.80274,93600.0
2000-06-27,51.60938,52.0625,50.71875,50.71875,38.19096,112800.0
2000-06-28,50.9375,52.1875,50.9375,52.0,39.15572,170600.0
2000-06-29,51.75,51.84375,51.03125,51.1875,38.5439,212200.0
2000-06-30,51.21875,51.67969,50.79688,51.67969,38.91453,1171800.0
2000-07-03,51.5625,52.40625,51.5,52.40625,39.46162,15800.0
2000-07-05,52.10938,52.125,51.63281,51.8125,39.01453,138800.0
2000-07-06,51.82812,52.42188,51.34375,52.42188,39.47339,154600.0
2000-07-07,52.42969,52.95312,52.42969,52.75,39.72045,71800.0
2000-07-10,52.71875,53.28125,52.71875,53.09375,39.97929,44800.0
2000-07-11,53.0,53.29688,52.84375,53.03125,39.93225,253200.0
2000-07-12,53.3125,54.09375,53.25,54.09375,40.73228,45200.0
2000-07-13,54.14062,54.26562,54.0,54.26562,40.86171,102600.0
2000-07-14,54.54688,54.54688,53.875,54.3125,40.89702,54800.0
2000-07-17,54.35938,54.59375,54.21875,54.5,41.0382,46600.0
2000-07-18,54.14062,54.14062,53.5625,53.5625,40.33226,235400.0
2000-07-19,53.39062,53.39062,52.625,52.625,39.62634,35400.0
2000-07-20,53.125,53.5,53.125,53.5,40.28521,150400.0
2000-07-21,53.1875,53.1875,52.03125,52.03125,39.17924,150600.0
2000-07-24,52.3125,52.3125,51.16406,51.27344,38.60862,37000.0
2000-07-25,51.67969,51.67969,51.0625,51.375,38.68507,36800.0
2000-07-26,51.0,51.28125,50.46875,51.28125,38.6145,15800.0
2000-07-27,51.17969,51.17969,49.875,49.875,37.5556,275000.0
2000-07-28,50.16406,50.16406,48.875,49.0,36.89673,171600.0
2000-07-31,49.25,50.25,48.6875,50.25,37.83797,166400.0
2000-08-01,49.875,50.0625,49.64062,49.92188,37.59088,263400.0
2000-08-02,49.625,50.28125,49.5,50.0,37.64973,388600.0
2000-08-03,49.03125,50.0625,49.03125,49.96875,37.62619,1084200.0
2000-08-04,50.5625,50.57812,49.92188,50.21875,37.81444000000001,570400.0
2000-08-07,50.40625,51.14844,50.40625,51.14844,38.5145,88200.0
2000-08-08,51.0,51.15625,50.90625,50.90625,38.33212,49600.0
2000-08-09,51.28125,51.28125,50.53906,50.53906,38.05564,23000.0
2000-08-10,50.54688,50.59375,50.09375,50.25,37.83797,43000.0
2000-08-11,49.75,51.125,49.75,51.125,38.49686,176000.0
2000-08-14,50.96875,51.65625,50.9375,51.65625,38.89688,56800.0
2000-08-15,51.54688,51.625,50.90625,50.90625,38.33212,189200.0
2000-08-16,51.125,51.53125,50.9375,51.15625,38.52036,219400.0
2000-08-17,51.34375,51.84375,51.21875,51.625,38.87334,358800.0
2000-08-18,51.8125,51.9375,51.4375,51.54688,38.81451,52200.0
2000-08-21,51.875,51.92188,51.40625,51.73438,38.95569,129200.0
2000-08-22,51.76562,52.09375,51.65625,51.65625,38.89688,195600.0
2000-08-23,51.59375,51.75,51.375,51.57812,38.83804,153000.0
2000-08-24,51.85938,52.625,51.85938,52.34375,39.41456,276200.0
2000-08-25,52.375,52.6875,52.21875,52.5625,39.57926,208600.0
2000-08-28,52.8125,53.125,52.5625,52.65625,39.64988,156000.0
2000-08-29,52.78125,53.15625,52.625,53.15625,40.02638,140200.0
2000-08-30,53.10938,53.40625,52.92188,53.21875,40.07343,619000.0
2000-08-31,53.40625,54.15625,53.40625,53.75,40.47345,151200.0
2000-09-01,54.0,54.28125,53.74219,54.1875,40.80288,186800.0
2000-09-05,54.11719,54.28125,53.8125,53.8125,40.52053,110400.0
2000-09-06,54.0625,54.0625,53.5,53.57812,40.34404,217800.0
2000-09-07,53.8125,54.40625,53.8125,54.375,40.94409,213800.0
2000-09-08,54.10156,54.21875,53.4375,53.4375,40.23814,128600.0
2000-09-11,53.71094,53.91406,53.3125,53.5,40.28521,314600.0
2000-09-12,53.8125,53.8125,53.25,53.32812,40.15579,93000.0
2000-09-13,53.09375,53.6875,53.09375,53.59375,40.35578,81200.0
2000-09-14,53.82812,54.10938,53.58594,53.90625,40.59111,114000.0
2000-09-15,53.625,53.6875,52.8125,52.90625,39.83814,67000.0
2000-09-18,53.14062,53.14062,51.50781,51.65625,38.89688,201400.0
2000-09-19,51.98438,52.71875,51.63281,52.5,39.53222,54800.0
2000-09-20,52.3125,52.3125,51.625,51.90625,39.21809,40400.0
2000-09-21,52.0,52.0,50.9375,50.9375,38.48616,207400.0
2000-09-22,50.0,51.59375,50.0,51.59375,38.98199,127600.0
2000-09-25,52.17969,52.17969,51.625,51.65625,39.02919,113800.0
2000-09-26,51.625,51.625,50.65625,50.92188,38.47433,65200.0
2000-09-27,51.15625,51.40625,50.5,50.6875,38.29724,43600.0
2000-09-28,50.8125,52.15625,50.78125,52.0625,39.33616,121000.0
2000-09-29,52.01562,52.19531,51.8125,51.8125,39.14727,130400.0
2000-10-02,52.20312,52.20312,50.96875,50.96875,38.50975,169600.0
2000-10-03,51.58594,51.58594,50.22656,50.22656,37.94899,151000.0
2000-10-04,50.45312,50.57812,49.8125,50.57812,38.21461,99800.0
2000-10-05,50.625,50.8125,50.03125,50.0625,37.82504,408800.0
2000-10-06,50.15625,50.15625,48.78125,48.84375,36.90419,185600.0
2000-10-09,48.875,48.875,48.3125,48.73438,36.82154,361800.0
2000-10-10,48.79688,49.05469,47.5625,47.5625,35.93614,420400.0
2000-10-11,47.71875,47.8125,47.0,47.40625,35.8181,168200.0
2000-10-12,47.84375,47.84375,45.96875,45.96875,34.731970000000004,161400.0
2000-10-13,46.09375,48.14062,46.0625,47.75,36.0778,378800.0
2000-10-16,48.0,48.53125,47.71875,48.125,36.36113,1098000.0
2000-10-17,48.125,48.25781,46.57031,46.91406,35.44622000000001,265800.0
2000-10-18,45.82031,46.8125,45.625,46.53125,35.15698,343600.0
2000-10-19,47.28125,48.09375,47.28125,47.96875,36.24308,150600.0
2000-10-20,48.34375,49.03125,48.32031,48.57812,36.7035,264800.0
2000-10-23,48.84375,49.125,48.66406,49.0625,37.06947,143200.0
2000-10-24,49.21875,49.53125,48.34375,48.34375,36.52641,73800.0
2000-10-25,48.25,48.5,47.26562,47.26562,35.71183,33000.0
2000-10-26,47.71094,48.0,46.84375,48.0,36.26669,105800.0
2000-10-27,47.625,48.25,47.625,48.03125,36.29032,138800.0
2000-10-30,47.9375,48.53125,47.53125,48.25,36.45559,73600.0
2000-10-31,48.4375,49.67969,48.4375,49.5,37.40002,285000.0
2000-11-01,49.34375,49.71875,49.28125,49.53125,37.42363,528200.0
2000-11-02,49.89062,50.8125,49.875,50.71875,38.32088,211800.0
2000-11-03,50.79688,50.8125,50.375,50.65625,38.27365,224200.0
2000-11-06,51.09375,51.09375,50.21875,50.26562,37.9785,68200.0
2000-11-07,50.29688,50.6875,50.0625,50.6875,38.29724,79400.0
2000-11-08,50.71875,50.75,49.78125,49.78125,37.61254,192600.0
2000-11-09,49.375,49.6875,48.53125,49.25,37.21115,249000.0
2000-11-10,49.375,49.375,48.0,48.0,36.26669,189000.0
2000-11-13,47.5,47.89062,46.3125,47.51562,35.90074,160800.0
2000-11-14,48.4375,48.8125,48.375,48.65625,36.76255,129600.0
2000-11-15,48.71875,49.4375,48.5625,49.28125,37.23475,542200.0
2000-11-16,48.64062,49.24219,47.85156,47.85156,36.15455,165400.0
2000-11-17,48.5,48.89844,48.03125,48.15625,36.38476,215400.0
2000-11-20,47.6875,47.84375,46.875,46.90625,35.44028,79800.0
2000-11-21,47.0625,47.0625,46.4375,46.63281,35.23372,84400.0
2000-11-22,46.28125,46.5,45.46875,45.65625,34.49584,123400.0
2000-11-24,46.21094,47.09375,46.09375,46.9375,35.46391,82200.0
2000-11-27,47.90625,48.05469,47.0625,47.07031,35.56426,235600.0
2000-11-28,46.875,47.21875,45.5,45.65625,34.49584,171000.0
2000-11-29,46.0,46.0,45.0625,45.53125,34.40143,526800.0
2000-11-30,45.0,45.28125,43.96875,44.5625,33.66948,214600.0
2000-12-01,45.1875,46.25,45.125,45.5625,34.42501,309200.0
2000-12-04,45.73438,45.73438,45.0,45.0625,34.047259999999994,528200.0
2000-12-05,45.75,47.25,45.75,47.25,35.70003,392400.0
2000-12-06,47.09375,47.53125,46.15625,46.15625,34.87364,310800.0
2000-12-07,45.71875,46.40625,45.71875,46.03125,34.7792,236200.0
2000-12-08,46.96875,47.875,46.65625,46.65625,35.25142,359600.0
2000-12-11,47.96875,48.78125,47.78125,48.78125,36.85698,250800.0
2000-12-12,48.78125,48.78125,47.71875,47.71875,36.0542,323200.0
2000-12-13,47.89062,47.89062,46.59375,46.61719,35.3828,525400.0
2000-12-14,46.5,46.84375,45.875,45.875,34.81948,593800.0
2000-12-15,45.34375,45.70312,45.0,45.625,34.62973,389000.0
2000-12-18,45.84375,46.46875,45.8125,46.3125,35.15153,239600.0
2000-12-19,46.25,46.75,45.5,45.5,34.534859999999995,453800.0
2000-12-20,44.73438,45.0,43.90625,44.0625,33.44378,261400.0
2000-12-21,44.0625,44.95312,43.75,44.40625,33.70471,404600.0
2000-12-22,45.125,46.34375,45.0625,46.25,35.1041,885600.0
2000-12-26,46.25,46.60938,46.01562,46.51562,35.30573,514000.0
2000-12-27,46.5,47.75,46.1875,47.75,36.24263,741200.0
2000-12-28,47.71875,49.375,47.71875,49.28125,37.40485,1201000.0
2000-12-29,49.46875,49.60938,47.8125,47.875,36.3375,1803800.0
2001-01-02,47.875,47.875,45.84375,46.20312,35.06854000000001,826000.0
2001-01-03,45.75,48.75,45.71875,48.11719,36.52131,1409800.0
2001-01-04,47.9375,48.28125,47.3125,47.5,36.05287,506600.0
2001-01-05,47.4375,47.4375,45.8125,46.03125,34.93809,263200.0
2001-01-08,45.875,46.25,45.34375,46.1875,35.05668,423400.0
2001-01-09,46.1875,46.5625,45.84375,46.11719,35.0033,327600.0
2001-01-10,45.6875,47.59375,45.6875,47.59375,36.12402,1021800.0
2001-01-11,47.25,48.4375,47.25,48.24219,36.6162,431200.0
2001-01-12,48.0625,48.72656,47.8125,48.375,36.717,1014200.0
2001-01-16,48.25,49.34375,48.03125,49.34375,37.45229000000001,445200.0
2001-01-17,50.09375,50.1875,48.96875,49.3125,37.42857,1089600.0
2001-01-18,49.4375,49.5,48.76562,49.5,37.57088,916200.0
2001-01-19,49.90625,49.90625,48.39062,48.625,36.90675,590800.0
2001-01-22,48.5,49.09375,48.26562,48.96875,37.16766,237600.0
2001-01-23,49.0,50.1875,48.875,50.1875,38.09269000000001,3197400.0
2001-01-24,50.25,50.40625,49.8125,50.0,37.95039000000001,938800.0
2001-01-25,50.02344,50.15625,49.60938,49.8125,37.80807,772000.0
2001-01-26,49.53125,50.0,49.17188,49.8125,37.80807,435200.0
2001-01-29,49.695,50.825,49.695,50.825,38.57656,596800.0
2001-01-30,51.0,51.155,50.425,51.155,38.82703,1381400.0
2001-01-31,51.225,51.525,50.45,50.45,38.29195,922400.0
2001-02-01,50.475,50.82,50.25,50.82,38.57276,702800.0
2001-02-02,50.9,50.9,49.685,49.685,37.7113,856000.0
2001-02-05,49.5,49.995,49.455,49.785,37.78721,541600.0
2001-02-06,49.875,50.745,49.875,50.575,38.38681,424800.0
2001-02-07,50.025,50.8,50.025,50.7,38.4817,406600.0
2001-02-08,50.825,50.9,49.875,49.94,37.90486,2393800.0
2001-02-09,49.875,49.975,49.125,49.3,37.4191,985000.0
2001-02-12,49.325,50.45,49.255,50.4,38.25399,443200.0
2001-02-13,50.825,51.25,49.925,49.925,37.89347,913000.0
2001-02-14,50.2,50.45,49.65,50.45,38.29195,336000.0
2001-02-15,51.0,51.075,50.515,50.7,38.4817,1262000.0
2001-02-16,49.55,50.2,49.45,49.605,37.65059,675400.0
2001-02-20,49.85,50.0,48.76,49.03,37.21415,631000.0
2001-02-21,48.6,49.075,48.025,48.175,36.5652,399600.0
2001-02-22,48.175,48.245,47.125,47.5,36.05287,526600.0
2001-02-23,47.4,47.75,46.225,47.6,36.12878,380800.0
2001-02-26,48.075,48.745,47.855,48.65,36.92572,903200.0
2001-02-27,48.65,48.65,47.625,47.775,36.26159000000001,448400.0
2001-02-28,47.9,47.9,46.925,47.075,35.7303,316200.0
2001-03-01,47.025,47.4,46.35,47.4,35.97696,541600.0
