Date,Open,High,Low,Close,Adj Close,Volume
2004-01-02,54.0,54.28,54.0,54.28,44.27755,2300
2004-01-05,54.15,54.15,53.89,54.13,44.1552,3500
2004-01-06,54.04,54.38,54.01,54.3,44.29386,52800
2004-01-07,53.8,54.14,53.73,54.12,44.14704,7000
2004-01-08,54.28,54.28,53.99,53.99,44.041,5000
2004-01-09,53.83,53.83,53.57,53.59,43.7147,8700
2004-01-12,53.75,53.98,53.63,53.94,44.00021,2400
2004-01-13,53.96,53.96,53.65,53.88,43.95125,3200
2004-01-14,54.08,54.27,53.98,54.21,44.22045,5100
2004-01-15,54.14,54.14,53.74,53.95,44.00837,8900
2004-01-16,54.14,54.28,54.14,54.25,44.25308,3300
2004-01-20,54.03,54.03,53.74,53.74,43.83706,1800
2004-01-21,53.71,54.61,53.71,54.51,44.46518,2300
2004-01-22,54.74,55.21,54.74,55.11,44.95461,38700
2004-01-23,54.98,55.12,54.84,54.88,44.76698,1800
2004-01-26,54.68,54.68,54.34,54.6,44.53859,3200
2004-01-27,54.73,54.73,54.1,54.27,44.2694,40500
2004-01-28,54.14,54.14,53.13,53.13,43.33946,41900
2004-01-29,52.83,53.18,52.69,53.18,43.38025,13900
2004-01-30,51.65,51.77,51.53,51.62,42.10773,23600
2004-02-02,51.6,51.65,51.18,51.32,41.863,7400
2004-02-03,50.9,51.3,50.9,51.02,41.61828,109000
2004-02-04,50.67,50.8,50.33,50.33,41.05543,53900
2004-02-05,50.73,50.73,50.6,50.63,41.30016,600
2004-02-06,50.88,51.6,50.83,51.6,42.0914,27100
2004-02-09,51.83,51.97,51.74,51.74,42.2056,62400
2004-02-10,51.68,52.11,51.51,52.11,42.50743,2100
2004-02-11,52.1,52.41,52.1,52.41,42.75217,1800
2004-02-12,52.31,52.81,52.31,52.6,42.90714,20700
2004-02-13,52.2,52.2,52.2,52.2,42.58085,100
2004-02-17,52.05,52.27,51.75,52.2,42.58085,5500
2004-02-18,51.8,51.85,51.8,51.85,42.29534,6000
2004-02-19,52.21,52.3,51.85,51.87,42.31165,5700
2004-02-20,51.64,51.64,51.52,51.63,42.11588,1200
2004-02-23,51.6,51.6,50.98,50.98,41.58566,3000
2004-02-24,50.82,51.11,50.82,51.06,41.65092,35100
2004-02-25,51.25,51.25,51.0,51.18,41.74881,1900
2004-02-26,51.12,51.66,51.1,51.66,42.14037,4300
2004-02-27,51.51,52.14,51.43,52.14,42.53189,76700
2004-03-01,51.6,52.1,51.6,52.1,42.49928,800
2004-03-02,52.12,52.2,51.73,51.88,42.31982,4300
2004-03-03,51.59,51.72,51.31,51.72,42.18929,4100
2004-03-04,51.35,51.42,51.19,51.4,41.92827,103700
2004-03-05,51.64,51.69,51.56,51.69,42.16483,1000
2004-03-08,51.4,51.52,51.3,51.3,41.84668,1200
2004-03-09,50.9,50.96,50.75,50.75,41.39805,7500
2004-03-10,50.76,50.76,50.76,50.76,41.4062,100
2004-03-11,49.91,50.87,49.9,50.87,41.49593,59800
2004-03-12,50.87,50.9,50.69,50.81,41.44698,51700
2004-03-15,50.64,50.65,50.07,50.25,40.99018,3700
2004-03-16,50.25,50.25,49.68,50.05,40.82705,41900
2004-03-17,50.82,51.12,50.82,51.06,41.65092,28500
2004-03-18,50.81,50.81,50.3,50.53,41.2186,1800
2004-03-19,50.19,50.46,49.93,49.93,40.72915,10200
2004-03-22,49.66,49.66,49.16,49.33,40.23971,7300
2004-03-23,49.8,49.83,49.39,49.6,40.45997,27400
2004-03-24,49.64,49.68,49.5,49.5,40.37841,4200
2004-03-25,50.12,50.77,50.12,50.77,41.41436,5200
2004-03-26,50.69,51.0,50.69,50.86,41.53277,2900
2004-03-29,51.27,51.84,51.27,51.5,42.0554,4400
2004-03-30,51.45,51.56,51.26,51.46,42.02272,9000
2004-03-31,51.64,51.8,51.24,51.8,42.30037,4000
